Core,Workstream,Audiences ,Learning categories / Playbook Chapter Title,Asset Name,Description ,Asset type (drop-down),Asset Format,Staging Location,Future / Permenant Storage Location.,Dissemination Method (define if linked or described in playbook)
Community Engagement Core,Engagement Resource Center,Academic Audience ,Best Practices for Conducting Community Engaged Research,COVID-19 Testing & Vaccination in the Hispanic Population: How behaviors differed by national heritage and language preference,"This is a three-page lay summary of the paper ""Examining COVID-19 testing and vaccination behaviors by heritage and linguistic preferences among Hispanic, Latino, or Spanish RADx-UP participants,"" published in Preventive Medicine Reports in July 2023. In this study, researchers wanted to understand if national heritage and language affected whether Hispanic community members participated in COVID-19 testing and got vaccinated.",4) Recommendation or guidance,PDF Document,https://duke.box.com/s/6cfvohdagb7y1x6i4raye3b0m7033od4,NIH RADx Data Hub,Playbook (linked)
Community Engagement Core,Engagement Resource Center,Academic Audience ,Best Practices for Conducting Community Engaged Research,RADx-UP Scientific Meeting Report May 2022,"The RADx-UP Scientific Meeting series is a regular showcase for RADx-UP projects to present data results, share insights, and identify solutions for combatting COVID-19. This report summarizes the RADx-UP project presentations from the May 2022 Scientific Meeting.
",6) Other,PDF Document,https://duke.box.com/s/zbmmbkqdvj9bkfm23zbe1z9wmstvp8ky,NIH RADx Data Hub,Playbook (referenced)
Community Engagement Core,Engagement Resource Center,Academic Audience ,Testing,COVID-19 Testing Commons,The ASU Testing Commons is a dashboard of COVID-19 tests that the RADx-UP Coordination and Data Collection Center (CDCC) COVID-19 supports. The dashboard contains search filters based on categories such as company and regulatory status.,5) Reference/tool,Website / Blog,https://chs.asu.edu/diagnostics-commons/testing-commons,NIH RADx Data Hub,Playbook (linked)
Community Engagement Core,Engagement Resource Center,Academic Audience ,Best Practices for Conducting Community Engaged Research,Toolkit for Engaging Diverse Communities to Plan and Implement Public Health Programs,"Say Yes! COVID Test and You & Me COVID-Free program leaders and community partners worked together to develop a toolkit to share lessons learned and guide future community-engaged public health programs in underrepresented communities. The toolkit’s main goals are to highlight the importance of community engagement, outline how to go about fostering it, and describe the vital role of communities in improving public health both now and in the future.",5) Reference/tool,PDF Document,https://duke.box.com/s/7d5i46ve29gi5s1odpy7mkpnm0huw3t6,NIH RADx Data Hub,Playbook (linked)
Services,Communications,Academic Audience,Policy and Practice ,Part 5: Payment,One of seven in a video series exploring the components of the health equity policy framework,5) Reference/tool,Video,https://duke.box.com/s/x6lqe3wj7xblfuckosgoh9lo4n8vh3gk,https://youtu.be/UPIHePTqDcI,Playbook (linked)
Community Engagement Core,Engagement Resource Center,Academic Audience ,Best Practices for Conducting Community Engaged Research,Keeping Children Safe in School: Lessons learned from the COVID-19 Pandemic,"
This publication supplement is a collaborative effort between Pediatrics, The ABC Science Collaborative and the RADx-UP Coordination and Data Collection Center. It is a collective effort of 109 authors, including eight community members, across 16 RADx-UP Return to School institutions, and shares what we have learned about reach, access, and effectiveness of COVID-19 testing in school settings. The information in this research summary details the titles and publications included in the 2023 supplement and lessons learned.",4) Recommendation or guidance,PDF Document,https://duke.box.com/s/gsjj1js726xprbda3x2b24v0kmqmbpqd,NIH RADx Data Hub,Playbook (appendix)
Community Engagement Core,Engagement Resource Center,Community Audience,Communications and Dissemination ,Why Does COVID-19 Testing Still Matter?,"This flyer speaks to the role of COVID-19 testing as a continued public health measure to keep our communities healthy. Testing helps treat high-risk cases early. Also, it helps us know when to adjust safety precautions, like indoor masking. Testing assists in areas with low vaccination rates. It helps prevent a resurgence and monitor vaccines.",6) Other,PDF Document,https://duke.box.com/s/g4cclba0l2vt62eazpptltiq5tebkyor,NIH RADx Data Hub,Playbook (appendix)
Community Engagement Core,Engagement Resource Center,Community Audience,Communications and Dissemination ,Contingency Management and SARS-CoV-2 Testing Among People Who Inject Drugs (English),"Research Brief: Regular COVID-19 testing helps prevent virus spread, but people who inject drugs often face barriers such as stigma, discrimination, transportation issues, and lack of insurance. This study examined how offering a $10 gift card impacts test uptake in this vulnerable group.",6) Other,PDF Document,https://duke.box.com/s/8rw7izfd47hgg750kfom3uvjpibgflau,NIH RADx Data Hub,
Community Engagement Core,Engagement Resource Center,Academic Audience ,Testing,Looking Forward: Bridging Infrastructures for Equitable COVID-19 Testing and Vaccination Data Profile,"The Evidence Academy is accompanied by a Data Profile, which provides an overview of the different RADx-UP projects across the nation as well as a snapshot of the current body of knowledge on COVID-19 testing in communities of greatest impact.",5) Reference/tool,PDF Document,https://duke.box.com/s/nnbuydo51j2og51loucplztn76dndxkn,NIH RADx Data Hub,
Community Engagement Core,Engagement Resource Center,Academic Audience ,Community of Practice,Looking Forward: Bridging Infrastructures for Equitable COVID-19 Testing and Vaccination Summary Report,"In this companion to the data profile, you will find more information about attendees, the six-cross cutting themes of the event, a summary of keynote presentations, takeaway observations and recommendations from breakout sessions and roundtable discussions, illustrations from the event, and our lessons learned.",5) Reference/tool,PDF Document,https://duke.box.com/s/0dgpc2c26o0n1awwtzv49zp129p2m9oj,NIH RADx Data Hub,Playbook (linked) 
Community Engagement Core,Engagement Resource Center,Community Audience,Communications and Dissemination ,Tailored Recruitment Messaging: Increasing representation of Black communities in COVID-19 home testing and surveillance data,Represent ATL created these recruitment materials after analyzing focus groups of 29 community members tasked with reacting to COVID-19 collateral developed by CDC and Morehouse School of Medicine. The goal was to tailor messaging to the Black community that underscored the importance of COVID-19 testing for individual and public health.,3) Template,PDF Document,https://duke.box.com/s/dbjme00xj9tod73l1o5zco4ar9rtfa8x,NIH RADx Data Hub,Playbook (appendix) 
Community Engagement Core,Engagement Resource Center,Academic Audience ,Capacity Building and Community Engagement,CATCH-UP: Practice Assessment,This document provides a tool for assessing which strategies are in place in a primary care practice when it comes to improving COVID-19 care. It also provides a mechanism for prioritizing practice improvement activities.,5) Reference/tool,PDF Document,https://duke.box.com/s/u5pli7if53ngki6k7apmj6513f7jmig6,NIH RADx Data Hub,Playbook (appendix) 
Community Engagement Core,Engagement Resource Center,Community Audience,Communications and Dissemination ,"Black and Latinx Community Perspectives on COVID-19 Mitigation Behaviors, Testing, and Vaccines (English)","This research brief covers a study that explored the experiences of Black and Latinx adults during the early part of the pandemic to understand their understanding of and response to COVID-19 public health strategies and their perspectives on the behaviors to prevent COVID-19, including testing and vaccines. Findings could inform public health messaging and strategies that can effectively support Black and Latinx communities through the pandemic and beyond. (English)",6) Other,PDF Document,https://duke.box.com/s/pgl17rx4hmtguuvjhf7o5wh64z9bsehl,NIH RADx Data Hub,
Community Engagement Core,Engagement Resource Center,Academic Audience ,Community of Practice,COVID-19 Equity Evidence Academy: Translating Innovations in Testing Data Profile,"In preparation for the event, the Evidence Academy planning team drafted a Data Profile, which provides a brief overview of the different RADx-UP and CEAL projects across the nation, as well as a snapshot of the current body of knowledge on COVID-19 testing in communities of greatest impact.",6) Other,PDF Document,https://duke.box.com/s/supfvj7p6c3k8bokc1t11ckqm0m1nrwq,NIH RADx Data Hub,Playbook (linked) 
Community Engagement Core,Engagement Resource Center,Academic Audience,Communications and Dissemination ,Effectiveness of a COVID-19 testing outreach intervention for Latinx communities: A cluster randomized trial (Spanish) ,Research Brief (Spanish): Researchers at the University of Oregon studied if tailoring community outreach to the Latinx community could increase the number of Latinx individuals who tested for SARS-CoV-2. Lay language research brief for RADx-UP published research,6) Other,PDF Document,https://duke.box.com/s/vcc5uf0k07667mbhhwsseurvk20d999j,NIH RADx Data Hub,
Community Engagement Core,Engagement Resource Center,Community Audience,Communications and Dissemination ,Contingency Management and SARS-CoV-2 Testing Among People Who Inject Drugs (Spanish),"Research Brief: Regular COVID-19 testing helps prevent virus spread, but people who inject drugs often face barriers such as stigma, discrimination, transportation issues, and lack of insurance. This study examined how offering a $10 gift card impacts test uptake in this vulnerable group.",6) Other,PDF Document,https://duke.box.com/s/o3coeowxs6frq8clm2hzi4vgertjnruj,NIH RADx Data Hub,
Community Engagement Core,Engagement Resource Center,Community Audience,Communications and Dissemination ,"Black and Latinx Community Perspectives on COVID-19 Mitigation Behaviors, Testing, and Vaccines (Spanish)","This research brief covers a study that explored the experiences of Black and Latinx adults during the early part of the pandemic to understand their understanding of and response to COVID-19 public health strategies and their perspectives on the behaviors to prevent COVID-19, including testing and vaccines. Findings could inform public health messaging and strategies that can effectively support Black and Latinx communities through the pandemic and beyond. (Spanish)",6) Other,PDF Document,https://duke.box.com/s/9gz2uzvn8kuanrolpebchll184x3vh04,NIH RADx Data Hub,
Community Engagement Core,Engagement Resource Center,Academic & NIH (Funder Audience),Communications and Dissemination ,(Manuscript) Reflections on the Development of a Nationwide Community-Engaged Resource Center During the COVID-19 Pandemic,Shares learnings and recommendations related to the entire Engagement Resource process.,4) Recommendation or guidance,Website,N/A,https://jces.ua.edu/articles/10.54656/jces.v17i1.579,
Services,Communications,Academic Audience,Policy and Practice ,Part 6: Foundational Components,One of seven in a video series exploring the components of the health equity policy framework,5) Reference/tool,Video,https://duke.box.com/s/hu2kduxrx1bkkfl1sbc12kz6xufyz6al,https://youtu.be/GzzHzpedGk4,Playbook (linked)
Community Engagement Core,Partnering for Impact,Academic Audience,Capacity Building and Community Engagement,Partnering for Impact Workshop Series: #10 Writing the Results,Generalizable series about how to write a journal article,2) Training,Video,https://duke.box.com/s/gth22tu0wg4huwpw3606h59uophi3a5m, https://youtu.be/HZHllzOCk80,Playbook (linked)
Community Engagement Core,Engagement Training & Support ,Academic & Community Audience,Capacity Building and Community Engagement ,CDCC/CCPH Onboarding training on best practices for Community Engagement,CDCC/CCPH Onboarding training on best practices for Community Engagement (CE) ,2) Training,PDF Document,https://duke.box.com/s/u0d99xnbvco84fs4qwi9m3slgsm51t04,NIH RADx Data Hub,Playbook (appendix)
Community Engagement Core,Engagement Training & Support ,Community Audience,Capacity Building and Community Engagement,Lunch and Learn : Community Training on Best Practices and Topics for Community Engagement,"Short, interactive sessions to support community-academic partnerships by providing practical, applied examples, encouraging attendees to share narratives, and creating space to apply shared lessons to their community-academic partnerships. Community Forum Topics: Participatory Budgeting, CBPR, Culturally Responsive Dissemination, CABs, Managing Project Start-Ups/Wrap-Ups, Sustaining Partnerships, Qualitative Research 101",2) Training,Website with videos,N/A,https://ccphealth.org/category/lunch-learn/,Playbook (linked)
Testing Core,Engaging with Partners to Curate and Track the Incoming Testing Technologies,Community Audience,Testing,NIH and FDA Testing Guidance,"Established a process with the FDA to communicate RADx-UP projects that have submitted LDTs for FDA Review. Meeting facilitated by Testing Core with NIH to confirm for projects what tests were and were not usable. This site offers guidance with dates of relevant guidance. NIH wanted EUA approved only tests and nothing experimental, for Phase 1 Testing Core was working through complications in this way. In future, the specific requirements to be explicitly stated will be supportive of clarity; having something available for grantees to understand requirements, terms, and conditions. ",1) Process (infrastructure),Website,N/A,https://www.fda.gov/medical-devices/covid-19-emergency-use-authorizations-medical-devices/in-vitro-diagnostics-euas,
Testing Core,Engaging with Partners to Curate and Track the Incoming Testing Technologies,Academic Audience ,Testing ,Interpretation of SARS-CoV-2 Immune Response Tests,"Blog post from Dr. James Everhart  within the Testing Technology Trends from our partner ASU website, intended to share insights, knowledge and strategies to help academic and community audiences navigate the challenges and improve decision-making.",4) Recommendation or guidance,Website,N/A,https://chs.asu.edu/diagnostics-commons/blog/interpretation-sars-cov-2-immune-response-tests,Playbook (linked)
Testing Core,Engaging with Partners to Curate and Track the Incoming Testing Technologies,Academic Audience ,Testing ,How viral variants and vaccination impact COVID-19 test performance,"Blog post from Dr. Gayani Tillekeratne  within the Testing Technology Trends from our partner ASU website, intended to share insights, knowledge and strategies to help academic and community audiences navigate the challenges and improve decision-making.",4) Recommendation or guidance,Website,N/A,https://chs.asu.edu/diagnostics-commons/blog/sars-cov-2-diagnostics-moving-target,Playbook (linked)
Community Engagement Core,Equity Evidence Academy,Academic & Community Audience,Community of Practice,Fourth Equity Evidence Academy Consensus Building Workshop Takeaways,Takeaways from a facilitated group exercise designed to reach shared agreement on the question posed in the document. Participants generated ideas regarding community engagement strategies learned through RADx-UP to advance health equity research and practice.,4) Recommendation or guidance,PDF Document,https://duke.box.com/s/ja51sa7ydptz7lnv4hne02hz2br0m2vo,NIH RADx Data Hub,
Community Engagement Core,Partnering for Impact,Academic Audience,Capacity Building and Community Engagement,Partnering for Impact Workshop Series: #11 Dealing with Reviews,Generalizable series about how to write a journal article,2) Training,Video,https://duke.box.com/s/7j1vdxfux6lgf14hts0izhmam0xlae96,https://youtu.be/rKLKov8p5Mo,Playbook (linked)
Community Engagement Core,Equity Evidence Academy,Academic Audience ,Community of Practice,Fourth Equity Evidence Academy ACAP Presentations and Posters,Advancing Community-Academic Partnerships Presentation Series (ACAP) section found on the the Fourth Equity Evidence Academy website. The ACAP series aims to share promising practices and strategies for developing and maintaining equitable community-academic research partnerships while promoting an increased understanding of the importance of community engagement when conducting research.,5) Reference/tool,Website,https://duke.box.com/s/8vgni7y6d5exm1qs6xd09bwbutymamqo,NIH RADx Data Hub,Playbook (referenced)
Community Engagement Core,Equity Evidence Academy,Academic Audience ,Community of Practice,"Second Equity Evidence Academy Takeaways PowerPoint (Slides 4-5, 9-11, & 14-15)",Takeaways from the Second Equity Evidence Academy with highlights from the COVID-19 Surge and Routine Testing and COVID-19 Testing in Schools themes,4) Recommendation or guidance,PDF Document,https://duke.box.com/s/o1501jx3hwp0gx2ho4otjybei8jjfiwb,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Academic Audience ,Community of Practice,Third Equity Evidence AcademybACAP Presentations and Posters,Advancing Community-Academic Partnerships Presentation Series (ACAP) section found in the Third Equity Evidence Academy summary report. The ACAP series aims to share promising practices and strategies for developing and maintaining equitable community-academic research partnerships while promoting an increased understanding of the importance of community engagement when conducting research.,5) Reference/tool,Website,N/A,https://rise.articulate.com/share/LXi4N88hcL9uSOodyPV1IcgRJ3vP3lft#/lessons/3z58ZkcO-BcBUlYKFVazAzaUP5Zk-iBA,Playbook (referenced) 
Community Engagement Core,Equity Evidence Academy,Academic Audience ,Community of Practice,Third Equity Evidence Academy Data Visualization Theme Summary,A summary of the Data Visualization theme from the Third Equity Evidence Academy.,5) Reference/tool,PDF Document,N/A,https://rise.articulate.com/share/LXi4N88hcL9uSOodyPV1IcgRJ3vP3lft#/lessons/WVfC1eEqmNgS9tGqoLneM4V5Pyo9B-fB,
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,Richard Zaldivar's Third Equity Evidence Academy Presentation Deck,"Presentation deck for EA3 presenter Richard Zaldivar, who discussed policies through a communications lens during the COVID-19 pandemic",5) Reference/tool,PPT Slides,N/A,https://articulateusercontent.com/rise/courses/NbV_ktDAfvG_zkhq3GL5Z63KQ1neBNun/VFexulTHWC-ZJfwU-EA%2520Theme%25202%2520Slide%2520Deck_Zaldivar_9.28.22.pdf,
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,Second Equity Evidence Academy Roundtable Takeaways,Attendee recommendations and takeaways from roundtable sessions for the Second Equity Evidence Academy,4) Recommendation or guidance,PDF Document,https://duke.box.com/s/o1501jx3hwp0gx2ho4otjybei8jjfiwb,NIH RADx Data Hub,
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Roundtable Takeaways (Pages 17-24),Attendee recommendations and takeaways from roundtable sessions for the First Equity Evidence Academy,4) Recommendation or guidance,PDF Document,https://duke.box.com/s/kv2s4k5k9or8qdz0wjbhl3a3whg794ox,NIH RADx Data Hub,
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,Third Equity Evidence Academy Data Visualization Theme Background,A presentation on the state of the science for the Data Visualization theme from the 3rd EA. ,4) Recommendation or guidance,PPT Slides,N/A,https://rise.articulate.com/share/W3Bgmuj09tI8WhsAEmv9L92zc3wwwj4N#/lessons/daKJf5wxgDXMnx21HuqCVf_nbY0h08_E,
Community Engagement Core,Equity Evidence Academy,NIH (Funder) Audience ,Community of Practice,Third Equity Evidence Academy Preliminary Results Slide deck Presented to PIs and CEC Leadership,Post event evaluation results for the Third Equity Evidence Academy  and planning presentation for the Fourth Equity Evidence Academy,1) Process (infrastructure),PPT Slides,https://duke.box.com/s/u8puczb6brli5xsey5v4bnvnouffenb3,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,NIH (Funder) Audience ,Community of Practice,Equity Evidence Academy (EA) Instructional Guide,This document acts as a guide for conducting a conference using the Equity Evidence Academy model,5) Reference/tool,Word Document,https://duke.box.com/s/7311z89kocaklxdtc00dzio7cenjnc7v,NIH RADx Data Hub,Playbook (appendix)
Community Engagement Core,Equity Evidence Academy,Academic & Community Audience,Community of Practice,(manuscript) Adapting the Evidence Academy model for virtual stakeholder engagement in a national setting during the COVID-19 pandemic,Manuscript on adapting the Equity Evidence Academy model for virtual conferences.,4) Recommendation or guidance,Website,N/A,https://pmc.ncbi.nlm.nih.gov/articles/PMC10225263/,Playbook (linked)
Community Engagement Core,Partnering for Impact,Academic Audience,Capacity Building and Community Engagement,Partnering for Impact Workshop Series: #3 Journal Selection,Generalizable series about how to write a journal article,2) Training,Video,https://duke.box.com/s/0jf4umh0dq8wnimmc8zmf7ltvo1xv7sq,https://youtu.be/b7B9UB0V2MI,Playbook (linked)
Community Engagement Core,Partnering for Impact,Academic Audience,Capacity Building and Community Engagement,Partnering for Impact Workshop Series: #4 Journal Submission,Generalizable series about how to write a journal article,2) Training,Video,https://duke.box.com/s/uoicx4q2ukbfzdywzxo43nzp90vzlvg2, https://youtu.be/NAy_d3zUZSc,Playbook (linked)
Community Engagement Core,Partnering for Impact,Academic Audience,Capacity Building and Community Engagement,Partnering for Impact Workshop Series: #5 Introduction to Utilizing Research Engines,Generalizable series about how to write a journal article,2) Training,Video,https://duke.box.com/s/a0d8w1od725389jhri8sjfti0x4qu21y,https://youtu.be/WEah-Bu4Xio,Playbook (linked)
Community Engagement Core,Equity Evidence Academy,Academic Audience ,Community of Practice,Fourth Equity Evidence Academy Webpage -Consensus Workshop Report,2023 EEA Consensus Workshop Report,5) Reference/tool,Website,https://duke.box.com/s/8vgni7y6d5exm1qs6xd09bwbutymamqo,NIH RADx Data Hub,
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,2nd Equity Evidence Academy Day 1 Rich Picture from Keynote,Rich picture illustrations of Linda Burhansstipanov's opening keynote for 2021 Equity Evidence Academy,5) Reference/tool,Website,https://duke.box.com/s/sz7q4pk28zsaxo7ph5j603ldx541dcyv,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,2nd Equity Evidence Academy Day 2 Rich Picture from Keynote,Rich picture illustrations of Marcella Nunez-Smith's opening keynote for 2021 Equity Evidence Academy,5) Reference/tool,Website,https://duke.box.com/s/plqwsgeu1phgaq1nxexxx2wiqnl8vz14,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,2nd Equity Evidence Academy Day 2 Rich Picture Breakout Sessions Report Back ,Rich Picture Breakout Sessions Report Back ,5) Reference/tool,Website,https://duke.box.com/s/vltwtx65ssao9ik6karfnmft06z96s5c,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,2nd Equity Evidence Academy Roundtable Recommendations,Slide deck with notes from roundtable of discussion takeaways,5) Reference/tool,Website,https://duke.box.com/s/gyruoc1boonh8n9dc2hwn4bw7vvwxqx3,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,2nd Equity Evidence Academy Slide Deck Breakout Sessions Report Back ,Slides with breakout session takeaways,5) Reference/tool,Website,https://duke.box.com/s/t8wm0hnc4q9id1exg7biadgybt95ihw3,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,2nd Equity Evidence Academy Session 2 with Dr. Kenneth Fox,"Slides from presentation on ""Adventures in School Health: The COVID-19 Remix""",5) Reference/tool,Website,https://duke.box.com/s/kzabsxsecz94jnwkwiusl77zwhoomreu,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,2nd Equity Evidence Academy Session 2 with Aziza Lucas Wright,"Slides from presentation on ""Community Partnered-Participatory Research and Engagement in the Era of COVID-19 Pandemic""",5) Reference/tool,Website,https://duke.box.com/s/lfnbj1gfj2k2luhmp6ihnlzeq7d5sfv3,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,Equity Evidence Academy Session 1 with Virginia Hendrick and Dr. Hakeem O. Adeniyi Jr. ,"Slides from presentation on ""Lessons Learned- Addressing COVID-19 Testing & Vaccination Efforts in Urban and American Indian / Alaskan Native Communities"" ",5) Reference/tool,Website,https://duke.box.com/s/a0jdo7xsqm14obzqu7g4xpwn9harx7uv,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,Equity Evidence Academy Session 2 with Julie A. Pryde and Awais Vaid,"Slides from presentation on ""Building and Maintaining Community Partnerships to Respond to Public Health Threats""",5) Reference/tool,Website,https://duke.box.com/s/e16b0up4g76dkcrx40u2vaaaeu6r2q4q,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,Equity Evidence Academy Session 1 with Janice L. Lucas,"Slides from presentation on ""Working Together for Better Lives"", Resilient American Communities (RAC) Bay County, NC",5) Reference/tool,Website,https://duke.box.com/s/fn9uw9pc0xjxdp3qevfcrzqgtjj4hk94,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,Equity Evidence Academy Session 2 with Brian Southwell,"Slides from presentation on ""Building Bridges Instead of Shutting Gates: Trust as Science Communication Strategy""",5) Reference/tool,Website,https://duke.box.com/s/kiu1qhbom70o0u16giqvq830n9eglnvf,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,Equity Evidence Academy Session 1 with Irene de Barraicua,"Slides from presentation on ""Underrepresented and Under Tested in Rural Communities""",5) Reference/tool,Website,https://duke.box.com/s/dqkmh55tgc6xr6ps7wi2xqq92d7tv6ds,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,Equity Evidence Academy Session 2 with Dr. Stella S. Yi,"Slides from presentation on ""Poor Quality Race/Ethnicity Data is Systemic Racism""",5) Reference/tool,Website,https://duke.box.com/s/ezggty2m1wfa2mfpuilw7rb7caee02bi,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,Equity Evidence Academy Session 1 with Dr. Raynald Samoa,"Slides from presentation on ""Pacific Islander Community""",5) Reference/tool,Website,https://duke.box.com/s/hsg0tsoauqo5xof01cl5w4yf20n8bf0e,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,Equity Evidence Academy Session 1 Dr. Rebecca Smith and Dr. Thanh (Helen) Nguyen ,"Slides from presentation on ""Mass Testing and Rural Communities"" and ""Water Surveillance"" ",5) Reference/tool,Website,https://duke.box.com/s/na5fdsq57xwbfcriblyvr1gqt5bf5yoe,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,2nd Equity Evidence Academy Final Keynote with Dr. Patricia Flatley Brennan,"Slides from final keynote of 2nd Equity Evidence Academy, ""Improving Science During the NIH Response to the COVID-19 Pandemic""",5) Reference/tool,Website,https://duke.box.com/s/1ky4ea5mty06rmr7xs16qn2vdcxv2keu,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,Equity Evidence Academy Keynote with Dr. Linda Burhansstipanov,"Slides from keynote on ""American Indians / Alaska Natives (AI/Ans), Infrastructure and COVID-19: Moving Beyond and Forward (in a good way)",5) Reference/tool,Website,https://duke.box.com/s/rxjh5yl4r0i7aase12jqli0n52bdl9xi,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,2nd Equity Evidence Academy Summary in Spanish,Summary of the 2021 Equity Evidence Academy entirely in Spanish,5) Reference/tool,Website,https://duke.box.com/s/4i0ngdwed2jh7ng0af4a9vph8qqjyvs5,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,2nd Equity Evidence Academy Data Profile Lay Summary in Spanish,"Data profile entirely in Spanish, for non-academic audience",5) Reference/tool,Website,https://duke.box.com/s/iv6efjupvq402y28pnwzt4lmq8t86986,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,2nd Equity Evidence Academy Data Profile Lay Summary in English,"Data profile entirely in English, for non-academic audience",5) Reference/tool,Website,https://duke.box.com/s/0qemac35n2bi72gm2dng7utwjkhacg56,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,Equity Evidence Academy Looking Forward in English,Bridging Infrastructures for Equitable COVID-19 Testing and Vaccinations in English,5) Reference/tool,Website,https://duke.box.com/s/hp8d31mbo1szwd6joui6aotow85v951b,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,Equity Evidence Academy Looking Forward in Spanish,Bridging Infrastructures for Equitable COVID-19 Testing and Vaccinations in Spanish,5) Reference/tool,Website,https://duke.box.com/s/p9v9gwy2djqfl2uuf6nwvjdgc15nzcf1,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,Equity Academy Looking Forward Lay Summary in English,Lay summary in English of looking forward to bridging infrastructures for equitable COVID-19 testing and vaccinations,5) Reference/tool,Website,https://duke.box.com/s/51bpf59zsvsk16vhm3jhwm1cuov32xiq,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Webpage: Norma Marti,Slides from presentaiton on: Conexion: Enhancing COVID19 Partnerships,5) Reference/tool,Website,https://duke.box.com/s/nh50z6mnnt8x6k51wr79a6jy44hlb3xa,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Webpage: Linda Ivory-Green presentation,Slides from presentaiton on: The Role of Public Health Departments in Contact Tracing,5) Reference/tool,Website,https://duke.box.com/s/kd05kr21zqmocyvi217wtmzd84pjdabw,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Webpage: Jay Leggette and Ed Kissam presentation,Slides from presentaiton on: Communication and Grassroots Advocacy in COVID-19 Testing,5) Reference/tool,Website,https://duke.box.com/s/3s81ldskz7eha2t87u61qqf6cbo74hnk,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Webpage: Dr. Amanda Boyd presentation,Slides from presentaiton on: Communication about COVID-19 with Indigenous Populations,5) Reference/tool,Website,https://duke.box.com/s/nm0dlrjsu4zvu6kkky30zkki61pajqco,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Webpage: Paster James D. Gailliard presentation,Slides from presentaiton on: Activating Principles of Engagement to Build Trustworthiness for COVID-19 Testing Efforts,5) Reference/tool,Website,https://duke.box.com/s/5pfaiur29xs26uud084aeje2kurgjxi0,NIH RADx Data Hub, 
Community Engagement Core,Equity Evidence Academy,Community Audience,Community of Practice,First Equity Evidence Academy Webpage: Dr. Stephen O. Sodeke presentation,Slides from presentaiton on: Trustworthiness and Equity: Establishing Trustworthiness when Conducting Research in COVID-19 Testing,5) Reference/tool,Website,https://duke.box.com/s/lzxp24onge18nz3nxr2ievdespyxiyfg,NIH RADx Data Hub, 
